公司代號,投資公司名稱,投資公司英文全稱,英文簡稱,境外投資公司名稱,境外子公司名稱,地區別代號,FACILITY_NAME,ICIS_FACILITY_ID,NPDES_ID,資料來源,匹配分數,匹配英文名稱,匹配英文名稱類型,NPDES_VIOLATION_ID,VIOLATION_TYPE_CODE,VIOLATION_CODE,VIOLATION_DESC,SINGLE_EVENT_VIOLATION_DATE,SINGLE_EVENT_END_DATE,SINGLE_EVENT_VIOLATION_COMMENT,SINGLE_EVENT_AGENCY_TYPE_CODE,RNC_DETECTION_CODE,RNC_DETECTION_DESC,RNC_DETECTION_DATE,RNC_RESOLUTION_CODE,RNC_RESOLUTION_DESC,RNC_RESOLUTION_DATE,VIOLATION_TYPE,VIOLATION_TYPE_DESC,COMP_SCHEDULE_EVENT_ID,COMP_SCHEDULE_NMBR,SCHEDULE_EVENT_CODE,SCHEDULE_EVENT_DESC,SCHEDULE_DATE,ACTUAL_DATE,REPORT_RECEIVED_DATE,PERM_SCHEDULE_EVENT_ID,VERSION_NMBR,ACTIVITY_ID,PERM_FEATURE_NMBR,PERMIT_ACTIVITY_ID,LIMIT_SET_DESIGNATOR,MONITORING_LOCATION_CODE,DMR_FORM_VALUE_ID,DMR_VALUE_NMBR,DMR_VALUE_ID,DMR_PARAMETER_ID,NODI_CODE,ADJUSTED_DMR_VALUE_NMBR,LIMIT_VALUE_STANDARD_UNITS,PARAMETER_CODE,PARAMETER_DESC,STANDARD_UNIT_CODE,STANDARD_UNIT_DESC,MONITORING_PERIOD_END_DATE,NMBR_OF_REPORT,EXCEEDENCE_PCT,VALUE_QUALIFIER_CODE,UNIT_CODE,VALUE_RECEIVED_DATE,DAYS_LATE,ADJUSTED_DMR_STANDARD_UNITS,LIMIT_ID,DMR_VALUE_STANDARD_UNITS,VALUE_TYPE_CODE,STATISTICAL_BASE_CODE,STATISTICAL_BASE_MONTHLY_AVG,STATISTICAL_BASE_SHORT_DESC
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3677259888.0,P,C10,Schedule Event reported late,,,,,,,,,,,PS,Permit Schedule Violations,,,CS017,Achieve Final Compliance With Emission or Discharge Limits,06/01/2023,06/26/2023,06/26/2023,3601095329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3662018949.0,,E90,"DMR, Limited - Numeric Violation",,,,,,,,,,,EFF,Effluent Violations,,,,,,,,,0.0,3602724888.0,001,3602724888.0,A,1,3896953517.0,69.0,3750645942.0,3680353379.0,,,16.34399986,00310,"BOD, 5-day, 20 deg. C",01,kg/d,09/30/2021,1.0,92.0,=,26,10/20/2021,,,3605913174.0,31.32599974,Q1,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3656202337.0,,D90,"DMR, Limited - Overdue",,,,,K,"Non-receipt Violation, Non-Monthly Average",02/21/2021,9,RE - Manual by Back into Compliance/Administratively Resolved,05/28/2021,EFF,Effluent Violations,,,,,,,,,3.0,3600794322.0,001,3600794322.0,A,1,3654645204.0,,3731070689.0,3670026692.0,E,,557.0,00620,"Nitrogen, nitrate total [as N]",19,mg/L,12/31/2020,1.0,,,,01/13/2021,,,3601547152.0,,C3,DD,N,DAILY MX
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3601712242.0,,D80,"DMR, Monitor Only - Overdue",,,,,K,"Non-receipt Violation, Non-Monthly Average",06/21/2015,9,RE - Manual by Back into Compliance/Administratively Resolved,06/21/2015,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,005,3200138426.0,C,1,3430162412.0,,3608237322.0,3604603766.0,8,,,00340,"Oxygen demand, chem. [high level] [COD]",19,mg/L,04/30/2015,6.0,,,,05/18/2015,,,3200447829.0,,C3,DD,N,DAILY MX
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3600459462.0,,D80,"DMR, Monitor Only - Overdue",,,,,N,Non-Receipt of DMR/Schedule Report,12/22/2014,9,RE - Manual by Back into Compliance/Administratively Resolved,12/22/2014,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,006,3200138426.0,C,1,3430162903.0,,3601836292.0,3601027238.0,8,,,00665,"Phosphorus, total [as P]",01,kg/d,10/31/2014,6.0,,,,11/20/2014,,,3200447850.0,,Q1,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3600459514.0,,D80,"DMR, Monitor Only - Overdue",,,,,N,Non-Receipt of DMR/Schedule Report,12/22/2014,9,RE - Manual by Back into Compliance/Administratively Resolved,12/22/2014,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,007,3200138426.0,C,1,3430163182.0,,3601836322.0,3601027252.0,8,,,00665,"Phosphorus, total [as P]",01,kg/d,10/31/2014,6.0,,,,11/20/2014,,,3200447866.0,,Q1,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3600459441.0,,D80,"DMR, Monitor Only - Overdue",,,,,K,"Non-receipt Violation, Non-Monthly Average",12/22/2014,9,RE - Manual by Back into Compliance/Administratively Resolved,12/22/2014,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,007,3200138426.0,C,1,3430163188.0,,3601836331.0,3601027255.0,8,,,50050,"Flow, in conduit or thru treatment plant",03,MGD,10/31/2014,6.0,,,,11/20/2014,,,3200447867.0,,C3,DD,N,DAILY MX
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3665404584.0,,E90,"DMR, Limited - Numeric Violation",,,,,T,TRC Limitations Exceeded,05/31/2022,2,RE - Back into Compliance,09/30/2022,EFF,Effluent Violations,,,,,,,,,0.0,3602724888.0,001,3602724888.0,A,1,3896953801.0,72260.0,3764374592.0,3687873866.0,,,60.20000286,82388,"1,4-Dioxane",19,mg/L,03/31/2022,1.0,20.0,=,28,04/20/2022,,,3605913180.0,72.26000343,C2,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3601712057.0,,D80,"DMR, Monitor Only - Overdue",,,,,N,Non-Receipt of DMR/Schedule Report,06/21/2015,9,RE - Manual by Back into Compliance/Administratively Resolved,06/21/2015,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,005,3200138426.0,C,1,3430162405.0,,3608237337.0,3604603774.0,8,,,00310,"BOD, 5-day, 20 deg. C",19,mg/L,04/30/2015,6.0,,,,05/18/2015,,,3200447828.0,,C2,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3600459598.0,,D80,"DMR, Monitor Only - Overdue",,,,,K,"Non-receipt Violation, Non-Monthly Average",12/22/2014,9,RE - Manual by Back into Compliance/Administratively Resolved,12/22/2014,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,005,3200138426.0,C,1,3430162349.0,,3601836326.0,3601027253.0,8,,,00530,"Solids, total suspended",19,mg/L,10/31/2014,6.0,,,,11/20/2014,,,3200447831.0,,C3,DD,N,DAILY MX
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3600459276.0,,D80,"DMR, Monitor Only - Overdue",,,,,K,"Non-receipt Violation, Non-Monthly Average",12/22/2014,9,RE - Manual by Back into Compliance/Administratively Resolved,12/22/2014,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,005,3200138426.0,C,1,3430162345.0,,3601836303.0,3601027244.0,8,,,00400,pH,12,SU,10/31/2014,6.0,,,,11/20/2014,,,3200447830.0,,C3,IA,N,INST MAX
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3601711837.0,,D80,"DMR, Monitor Only - Overdue",,,,,K,"Non-receipt Violation, Non-Monthly Average",06/21/2015,9,RE - Manual by Back into Compliance/Administratively Resolved,06/21/2015,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,006,3200138426.0,C,1,3430162917.0,,3608237451.0,3604603821.0,8,,,00552,"Oil and grease, hexane extr method",19,mg/L,04/30/2015,6.0,,,,05/18/2015,,,3200447848.0,,C3,DD,N,DAILY MX
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3600459366.0,,D80,"DMR, Monitor Only - Overdue",,,,,N,Non-Receipt of DMR/Schedule Report,12/22/2014,9,RE - Manual by Back into Compliance/Administratively Resolved,12/22/2014,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,007,3200138426.0,C,1,3430163130.0,,3601836311.0,3601027247.0,8,,,00310,"BOD, 5-day, 20 deg. C",19,mg/L,10/31/2014,6.0,,,,11/20/2014,,,3200447860.0,,C2,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3683720411.0,,D80,"DMR, Monitor Only - Overdue",,,,,K,"Non-receipt Violation, Non-Monthly Average",08/25/2025,1,NC - Unresolved RNC,08/25/2025,EFF,Effluent Violations,,,,,,,,,0.0,3602724888.0,002,3602724888.0,D,1,3975730270.0,,3849606510.0,3735044806.0,E,,,61428,"Toxicity [chronic], Pimephales promelas [Fathead Minnow]",73,toxic,06/30/2025,12.0,,,,07/18/2025,,,3607183300.0,,C3,DD,N,DAILY MX
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3657687803.0,,D90,"DMR, Limited - Overdue",,,,,N,Non-Receipt of DMR/Schedule Report,04/21/2021,9,RE - Manual by Back into Compliance/Administratively Resolved,07/26/2021,EFF,Effluent Violations,,,,,,,,,3.0,3600794322.0,001,3600794322.0,A,1,3654645207.0,,3735948750.0,3672664247.0,E,,94.2,00620,"Nitrogen, nitrate total [as N]",19,mg/L,02/28/2021,1.0,,,,03/19/2021,,,3601547152.0,,C2,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3601711894.0,,D80,"DMR, Monitor Only - Overdue",,,,,K,"Non-receipt Violation, Non-Monthly Average",06/21/2015,9,RE - Manual by Back into Compliance/Administratively Resolved,06/21/2015,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,007,3200138426.0,C,1,3430163204.0,,3608237330.0,3604603770.0,8,,,00400,pH,12,SU,04/30/2015,6.0,,,,05/18/2015,,,3200447862.0,,C3,IA,N,INST MAX
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3662018950.0,,E90,"DMR, Limited - Numeric Violation",,,,,,,,,,,EFF,Effluent Violations,,,,,,,,,0.0,3602724888.0,001,3602724888.0,A,1,3896953518.0,149.0,3750645940.0,3680353379.0,,,43.12999964,00310,"BOD, 5-day, 20 deg. C",01,kg/d,09/30/2021,1.0,57.0,=,26,10/20/2021,,,3605913174.0,67.64599943,Q2,DD,N,DAILY MX
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3661546734.0,,E90,"DMR, Limited - Numeric Violation",,,,,,,,,,,EFF,Effluent Violations,,,,,,,,,0.0,3602724888.0,001,3602724888.0,A,1,3896953787.0,90850.0,3749015306.0,3679438884.0,,,60.20000286,82388,"1,4-Dioxane",19,mg/L,08/31/2021,1.0,51.0,=,28,09/20/2021,,,3605913180.0,90.85000432,C2,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3401107262.0,,E90,"DMR, Limited - Numeric Violation",,,,,V,Other Violation with TRC,03/31/2013,2,RE - Back into Compliance,05/31/2013,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,001,3200138426.0,A,1,3249721545.0,43.0,3405416245.0,3403314768.0,,,16.798,00310,"BOD, 5-day, 20 deg. C",01,kg/d,11/30/2012,1.0,16.0,=,26,12/20/2012,,,3200447803.0,19.52199984,Q1,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3652287581.0,,D80,"DMR, Monitor Only - Overdue",,,,,K,"Non-receipt Violation, Non-Monthly Average",10/22/2020,9,RE - Manual by Back into Compliance/Administratively Resolved,01/26/2021,EFF,Effluent Violations,,,,,,,,,3.0,3600794322.0,001,3600794322.0,D,1,3654643992.0,,3721584216.0,3665221257.0,E,,,61428,"Toxicity [chronic], Pimephales promelas [Fathead Minnow]",73,toxic,08/31/2020,12.0,,,,09/10/2020,,,3601547129.0,,C3,DD,N,DAILY MX
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3601711801.0,,D80,"DMR, Monitor Only - Overdue",,,,,,,,,,,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,007,3200138426.0,C,1,3430163199.0,,3608237328.0,3604603770.0,8,,,00400,pH,12,SU,04/30/2015,6.0,,,,05/18/2015,,,3200447862.0,,C1,IB,,INST MIN
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3600459725.0,,D80,"DMR, Monitor Only - Overdue",,,,,K,"Non-receipt Violation, Non-Monthly Average",12/22/2014,9,RE - Manual by Back into Compliance/Administratively Resolved,12/22/2014,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,006,3200138426.0,C,1,3430162904.0,,3601836288.0,3601027238.0,8,,,00665,"Phosphorus, total [as P]",01,kg/d,10/31/2014,6.0,,,,11/20/2014,,,3200447850.0,,Q2,DD,N,DAILY MX
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3205567853.0,,E90,"DMR, Limited - Numeric Violation",,,,,,,,,,,EFF,Effluent Violations,,,,,,,,,1.0,3200138427.0,001,3200138427.0,A,1,3249725765.0,121.0,3244392880.0,3209945153.0,,,46.762,00310,"BOD, 5-day, 20 deg. C",01,kg/d,04/30/2009,1.0,17.0,,26,05/20/2009,,,3200447818.0,54.934,Q1,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3601711885.0,,D80,"DMR, Monitor Only - Overdue",,,,,N,Non-Receipt of DMR/Schedule Report,06/21/2015,9,RE - Manual by Back into Compliance/Administratively Resolved,06/21/2015,EFF,Effluent Violations,,,,,,,,,2.0,3200138426.0,006,3200138426.0,C,1,3430162961.0,,3608237459.0,3604603825.0,8,,,00665,"Phosphorus, total [as P]",19,mg/L,04/30/2015,6.0,,,,05/18/2015,,,3200447850.0,,C2,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3683720399.0,,D80,"DMR, Monitor Only - Overdue",,,,,N,Non-Receipt of DMR/Schedule Report,08/25/2025,1,NC - Unresolved RNC,08/25/2025,EFF,Effluent Violations,,,,,,,,,0.0,3602724888.0,002,3602724888.0,D,1,3975730269.0,,3849606509.0,3735044806.0,E,,,61428,"Toxicity [chronic], Pimephales promelas [Fathead Minnow]",73,toxic,06/30/2025,12.0,,,,07/18/2025,,,3607183300.0,,C2,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3671083707.0,,E90,"DMR, Limited - Numeric Violation",,,,,T,TRC Limitations Exceeded,07/31/2023,2,RE - Back into Compliance,03/31/2024,EFF,Effluent Violations,,,,,,,,,0.0,3602724888.0,002,3602724888.0,A,1,3975729169.0,12497.0,3798774060.0,3706632760.0,,,0.15200001,82388,"1,4-Dioxane",19,mg/L,07/31/2023,1.0,8122.0,=,28,08/17/2023,,,3607183309.0,12.49700059,C2,MK,A,MO AVG
1402,遠東新世紀股份有限公司,Far Eastern New Century Corporation,FENC,"APG Polytech USA Holdings, Inc.","APG Polytech, LLC",211--美國,"APG POLYTECH, LLC",3200025465,WV0000132,境外子公司匹配,100,APG POLYTECH,境外子公司名稱,3657687810.0,,D90,"DMR, Limited - Overdue",,,,,K,"Non-receipt Violation, Non-Monthly Average",04/21/2021,9,RE - Manual by Back into Compliance/Administratively Resolved,07/26/2021,EFF,Effluent Violations,,,,,,,,,3.0,3600794322.0,001,3600794322.0,A,1,3654645208.0,,3735948749.0,3672664247.0,E,,557.0,00620,"Nitrogen, nitrate total [as N]",19,mg/L,02/28/2021,1.0,,,,03/19/2021,,,3601547152.0,,C3,DD,N,DAILY MX
